,file,object,Has Metadata record,In Merritt
0,0001.01.0455,0001.01.0455,Yes,No
1,0002.01.0001.01,0002.01.0001,Yes,No
2,0002.01.0001.02,0002.01.0001,Yes,No
3,0002.01.0002,0002.01.0002,Yes,No
4,0002.01.0003.01,0002.01.0003,Yes,No
5,0002.01.0003.02,0002.01.0003,Yes,No
6,0002.01.0004.01,0002.01.0004,Yes,No
7,0002.01.0004.02,0002.01.0004,Yes,No
8,0002.01.0005.01,0002.01.0005,Yes,No
9,0002.01.0005.02.,0002.01.0005,Yes,No
10,0002.01.0006.01,0002.01.0006,Yes,No
11,0002.01.0006.02,0002.01.0006,Yes,No
12,0002.01.0007.01,0002.01.0007,Yes,No
13,0002.01.0007.02,0002.01.0007,Yes,No
14,0002.01.0008,0002.01.0008,Yes,No
15,0002.01.0009.01,0002.01.0009,Yes,No
16,0002.01.0009.02,0002.01.0009,Yes,No
17,0002.01.0010,0002.01.0010,Yes,No
18,0002.01.0011,0002.01.0011,Yes,No
19,0002.01.0012,0002.01.0012,Yes,No
20,0002.01.0013,0002.01.0013,Yes,No
21,0002.01.0014,0002.01.0014,Yes,No
22,0002.01.0015,0002.01.0015,Yes,No
23,0002.01.0016,0002.01.0016,Yes,No
24,0002.01.0017,0002.01.0017,Yes,No
25,0002.01.0018,0002.01.0018,Yes,No
26,0002.01.0019,0002.01.0019,Yes,No
27,0002.01.0020,0002.01.0020,Yes,No
28,0002.01.0021,0002.01.0021,Yes,No
29,0002.01.0022,0002.01.0022,Yes,No
30,0002.01.0023,0002.01.0023,Yes,No
31,0002.01.0024,0002.01.0024,Yes,No
32,0002.01.0025,0002.01.0025,Yes,No
33,0002.01.0026.01,0002.01.0026,Yes,No
34,0002.01.0026.02,0002.01.0026,Yes,No
35,0002.01.0027,0002.01.0027,Yes,No
36,0002.01.0028,0002.01.0028,Yes,No
37,0002.01.0029.01,0002.01.0029,Yes,No
38,0002.01.0029.02,0002.01.0029,Yes,No
39,0002.01.0030,0002.01.0030,Yes,No
40,0002.01.0031,0002.01.0031,Yes,No
41,0002.01.0032,0002.01.0032,Yes,No
42,0002.01.0033,0002.01.0033,Yes,No
43,0002.01.0034,0002.01.0034,Yes,No
44,0002.01.0035,0002.01.0035,Yes,No
45,0002.01.0036,0002.01.0036,Yes,No
46,0002.01.0037,0002.01.0037,Yes,No
47,0002.01.0038,0002.01.0038,Yes,No
48,0002.01.0039,0002.01.0039,Yes,No
49,0002.01.0040.01,0002.01.0040,Yes,No
50,0002.01.0040.02,0002.01.0040,Yes,No
51,0002.01.0041,0002.01.0041,Yes,No
52,0002.01.0042.01,0002.01.0042,Yes,No
53,0002.01.0042.02,0002.01.0042,Yes,No
54,0002.01.0043,0002.01.0043,Yes,No
55,0002.01.0044,0002.01.0044,Yes,No
56,0002.01.0045,0002.01.0045,Yes,No
57,0002.01.0046,0002.01.0046,Yes,No
58,0002.01.0047,0002.01.0047,Yes,No
59,0002.01.0048,0002.01.0048,Yes,No
60,0002.01.0049,0002.01.0049,Yes,No
61,0002.01.0050,0002.01.0050,Yes,No
62,0002.01.0051,0002.01.0051,Yes,No
63,0002.01.0052,0002.01.0052,Yes,No
64,0002.01.0053,0002.01.0053,Yes,No
65,0002.01.0054,0002.01.0054,Yes,No
66,0002.01.0055,0002.01.0055,Yes,No
67,0002.01.0056,0002.01.0056,Yes,No
68,0002.01.0057,0002.01.0057,Yes,No
69,0002.01.0058.01,0002.01.0058,Yes,No
70,0002.01.0058.02,0002.01.0058,Yes,No
71,0002.01.0059,0002.01.0059,Yes,No
72,0002.01.0060,0002.01.0060,Yes,No
73,0002.01.0061,0002.01.0061,Yes,No
74,0002.01.0062,0002.01.0062,Yes,No
75,0002.01.0063,0002.01.0063,Yes,No
76,0002.01.0064,0002.01.0064,Yes,No
77,0002.01.0065,0002.01.0065,Yes,No
78,0002.01.0066,0002.01.0066,Yes,No
79,0002.01.0067,0002.01.0067,Yes,No
80,0002.01.0068,0002.01.0068,Yes,No
81,0002.01.0069,0002.01.0069,Yes,No
82,0002.01.0070,0002.01.0070,Yes,No
83,0002.01.0071,0002.01.0071,Yes,No
84,0002.01.0072,0002.01.0072,Yes,No
85,0002.01.0073,0002.01.0073,Yes,No
86,0002.01.0074,0002.01.0074,Yes,No
87,0002.01.0075,0002.01.0075,Yes,No
88,0002.01.0076,0002.01.0076,Yes,No
89,0002.01.0077,0002.01.0077,Yes,No
90,0002.01.0078,0002.01.0078,Yes,No
91,0002.01.0079,0002.01.0079,Yes,No
92,0002.01.0080.01,0002.01.0080,Yes,No
93,0002.01.0080.02,0002.01.0080,Yes,No
94,0002.02.0001.01,0002.02.0001,Yes,No
95,0002.02.0001.02,0002.02.0001,Yes,No
96,0002.02.0002.01,0002.02.0002,Yes,No
97,0002.02.0002.02,0002.02.0002,Yes,No
98,0002.02.0003.01,0002.02.0003,Yes,No
99,0002.02.0003.02,0002.02.0003,Yes,No
100,0002.02.0004.01,0002.02.0004,Yes,No
101,0002.02.0004.02,0002.02.0004,Yes,No
102,0002.02.0005.01,0002.02.0005,Yes,No
103,0002.02.0005.02,0002.02.0005,Yes,No
104,0002.02.0006.01,0002.02.0006,Yes,No
105,0002.02.0006.02,0002.02.0006,Yes,No
106,0002.02.0007.01,0002.02.0007,Yes,No
107,0002.02.0007.02,0002.02.0007,Yes,No
108,0002.02.0008.01,0002.02.0008,Yes,No
109,0002.02.0008.02,0002.02.0008,Yes,No
110,0002.02.0009.01,0002.02.0009,Yes,No
111,0002.02.0009.02,0002.02.0009,Yes,No
112,0002.02.0010.01,0002.02.0010,Yes,No
113,0002.02.0010.02,0002.02.0010,Yes,No
114,0002.02.0011.01,0002.02.0011,Yes,No
115,0002.02.0011.02,0002.02.0011,Yes,No
116,0002.02.0012,0002.02.0012,Yes,No
117,0002.02.0013.01,0002.02.0013,Yes,No
118,0002.02.0013.02,0002.02.0013,Yes,No
119,0002.02.0014.01,0002.02.0014,Yes,No
120,0002.02.0014.02,0002.02.0014,Yes,No
121,0002.02.0015.01,0002.02.0015,Yes,No
122,0002.02.0015.02,0002.02.0015,Yes,No
123,0002.02.0016.01,0002.02.0016,Yes,No
124,0002.02.0016.02,0002.02.0016,Yes,No
125,0002.02.0017.01,0002.02.0017,Yes,No
126,0002.02.0017.02,0002.02.0017,Yes,No
127,0002.02.0018.01,0002.02.0018,Yes,No
128,0002.02.0018.02,0002.02.0018,Yes,No
129,0002.02.0019.01,0002.02.0019,Yes,No
130,0002.02.0019.02,0002.02.0019,Yes,No
131,0002.02.0020,0002.02.0020,Yes,No
132,0002.02.0021.01,0002.02.0021,Yes,No
133,0002.02.0021.02,0002.02.0021,Yes,No
134,0002.02.0022.01,0002.02.0022,Yes,No
135,0002.02.0022.02,0002.02.0022,Yes,No
136,0002.02.0023.01,0002.02.0023,Yes,No
137,0002.02.0023.02,0002.02.0023,Yes,No
138,0002.02.0024.01,0002.02.0024,Yes,No
139,0002.02.0024.02,0002.02.0024,Yes,No
140,0002.02.0025.01,0002.02.0025,Yes,No
141,0002.02.0025.02,0002.02.0025,Yes,No
142,0002.02.0026.01,0002.02.0026,Yes,No
143,0002.02.0026.02,0002.02.0026,Yes,No
144,0002.02.0027.01,0002.02.0027,Yes,No
145,0002.02.0027.02,0002.02.0027,Yes,No
146,0002.02.0028.01,0002.02.0028,Yes,No
147,0002.02.0028.02,0002.02.0028,Yes,No
148,0002.02.0029.01,0002.02.0029,Yes,No
149,0002.02.0029.02,0002.02.0029,Yes,No
150,0002.02.0030.01,0002.02.0030,Yes,No
151,0002.02.0030.02,0002.02.0030,Yes,No
152,0002.02.0031.01,0002.02.0031,Yes,No
153,0002.02.0031.02,0002.02.0031,Yes,No
154,0002.02.0032.01,0002.02.0032,Yes,No
155,0002.02.0032.02,0002.02.0032,Yes,No
156,0002.02.0033.01,0002.02.0033,Yes,No
157,0002.02.0033.02,0002.02.0033,Yes,No
158,0002.02.0034.01,0002.02.0034,Yes,No
159,0002.02.0034.02,0002.02.0034,Yes,No
160,0002.02.0035.01,0002.02.0035,Yes,No
161,0002.02.0035.02,0002.02.0035,Yes,No
162,0002.02.0036,0002.02.0036,Yes,No
163,0002.02.0037.01,0002.02.0037,Yes,No
164,0002.02.0037.02,0002.02.0037,Yes,No
165,0002.02.0038.01,0002.02.0038,Yes,No
166,0002.02.0038.02,0002.02.0038,Yes,No
167,0002.02.0039.01,0002.02.0039,Yes,No
168,0002.02.0039.02,0002.02.0039,Yes,No
169,0002.02.0040.01,0002.02.0040,Yes,No
170,0002.02.0040.02,0002.02.0040,Yes,No
171,0002.02.0041.01,0002.02.0041,Yes,No
172,0002.02.0041.02,0002.02.0041,Yes,No
173,0002.02.0042.01,0002.02.0042,Yes,No
174,0002.02.0042.02,0002.02.0042,Yes,No
175,0002.02.0043.01,0002.02.0043,Yes,No
176,0002.02.0043.02,0002.02.0043,Yes,No
177,0002.02.0044.01,0002.02.0044,Yes,No
178,0002.02.0044.02,0002.02.0044,Yes,No
179,0002.02.0045.01,0002.02.0045,Yes,No
180,0002.02.0045.02,0002.02.0045,Yes,No
181,0002.02.0046,0002.02.0046,Yes,No
182,0002.02.0047,0002.02.0047,Yes,No
183,0002.02.0048,0002.02.0048,Yes,No
184,0002.02.0049,0002.02.0049,Yes,No
185,0002.02.0050,0002.02.0050,Yes,No
186,0002.02.0051,0002.02.0051,Yes,No
187,0002.02.0052,0002.02.0052,Yes,No
188,0002.02.0053,0002.02.0053,Yes,No
189,0002.02.0054.01,0002.02.0054,Yes,No
190,0002.02.0054.02,0002.02.0054,Yes,No
191,0002.02.0055.01,0002.02.0055,Yes,No
192,0002.02.0055.02,0002.02.0055,Yes,No
193,0002.02.0056.01,0002.02.0056,Yes,No
194,0002.02.0056.02,0002.02.0056,Yes,No
195,0002.02.0057.01,0002.02.0057,Yes,No
196,0002.02.0057.02,0002.02.0057,Yes,No
197,0002.02.0058.01,0002.02.0058,Yes,No
198,0002.02.0058.02,0002.02.0058,Yes,No
199,0002.02.0059.01,0002.02.0059,Yes,No
200,0002.02.0059.02,0002.02.0059,Yes,No
201,0002.02.0060.01,0002.02.0060,Yes,No
202,0002.02.0060.02,0002.02.0060,Yes,No
203,0002.02.0061.01,0002.02.0061,Yes,No
204,0002.02.0061.02,0002.02.0061,Yes,No
205,0002.02.0062.01,0002.02.0062,Yes,No
206,0002.02.0062.02,0002.02.0062,Yes,No
207,0002.02.0063.01,0002.02.0063,Yes,No
208,0002.02.0063.02,0002.02.0063,Yes,No
209,0002.02.0064,0002.02.0064,Yes,No
210,0002.02.0065,0002.02.0065,Yes,No
211,0002.02.0066,0002.02.0066,Yes,No
212,0002.02.0067,0002.02.0067,Yes,No
213,0002.02.0068.01,0002.02.0068,Yes,No
214,0002.02.0068.02,0002.02.0068,Yes,No
215,0002.02.0069.01,0002.02.0069,Yes,No
216,0002.02.0069.02,0002.02.0069,Yes,No
217,0002.02.0070.01,0002.02.0070,Yes,No
218,0002.02.0070.02,0002.02.0070,Yes,No
219,0002.02.0071.01,0002.02.0071,Yes,No
220,0002.02.0071.02,0002.02.0071,Yes,No
221,0002.02.0072.01,0002.02.0072,Yes,No
222,0002.02.0072.02,0002.02.0072,Yes,No
223,0002.02.0073.01,0002.02.0073,Yes,No
224,0002.02.0073.02,0002.02.0073,Yes,No
225,0002.02.0074.01,0002.02.0074,Yes,No
226,0002.02.0074.02,0002.02.0074,Yes,No
227,0002.02.0075.01,0002.02.0075,Yes,No
228,0002.02.0075.02,0002.02.0075,Yes,No
229,0002.02.0076.01,0002.02.0076,Yes,No
230,0002.02.0076.02,0002.02.0076,Yes,No
231,0002.02.0077,0002.02.0077,Yes,No
232,0002.02.0078,0002.02.0078,Yes,No
233,0002.02.0079,0002.02.0079,Yes,No
234,0002.02.0080,0002.02.0080,Yes,No
235,0002.02.0081,0002.02.0081,Yes,No
236,0002.02.0082,0002.02.0082,Yes,No
237,0002.02.0083,0002.02.0083,Yes,No
238,0002.02.0084,0002.02.0084,Yes,No
239,0002.02.0085,0002.02.0085,Yes,No
240,0002.02.0086,0002.02.0086,Yes,No
241,0002.02.0087,0002.02.0087,Yes,No
242,0002.03.0001.01,0002.03.0001,Yes,No
243,0002.03.0001.02,0002.03.0001,Yes,No
244,0002.03.0002.01,0002.03.0002,Yes,No
245,0002.03.0002.02,0002.03.0002,Yes,No
246,0002.03.0003.01,0002.03.0003,Yes,No
247,0002.03.0003.02,0002.03.0003,Yes,No
248,0002.03.0004.01,0002.03.0004,Yes,No
249,0002.03.0004.02,0002.03.0004,Yes,No
250,0002.03.0005.01,0002.03.0005,Yes,No
251,0002.03.0005.02,0002.03.0005,Yes,No
252,0002.03.0006.01,0002.03.0006,Yes,No
253,0002.03.0006.02,0002.03.0006,Yes,No
254,0002.03.0007.01,0002.03.0007,Yes,No
255,0002.03.0007.02,0002.03.0007,Yes,No
256,0002.03.0008,0002.03.0008,Yes,No
257,0002.03.0009,0002.03.0009,Yes,No
258,0002.03.0010,0002.03.0010,Yes,No
259,0002.03.0011,0002.03.0011,Yes,No
260,0002.03.0012,0002.03.0012,Yes,No
261,0002.03.0013,0002.03.0013,Yes,No
262,0002.03.0014,0002.03.0014,Yes,No
263,0002.03.0015,0002.03.0015,Yes,No
264,0002.04.0001.01,0002.04.0001,Yes,No
265,0002.04.0001.02,0002.04.0001,Yes,No
266,0002.04.0002.01,0002.04.0002,Yes,No
267,0002.04.0002.02,0002.04.0002,Yes,No
268,0002.04.0003.01,0002.04.0003,Yes,No
269,0002.04.0003.02,0002.04.0003,Yes,No
270,0002.04.0004.01,0002.04.0004,Yes,No
271,0002.04.0004.02,0002.04.0004,Yes,No
272,0002.04.0005.01,0002.04.0005,Yes,No
273,0002.04.0005.02,0002.04.0005,Yes,No
274,0002.04.0006.01,0002.04.0006,Yes,No
275,0002.04.0006.02,0002.04.0006,Yes,No
276,0002.04.0007.01,0002.04.0007,Yes,No
277,0002.04.0007.02,0002.04.0007,Yes,No
278,0002.04.0008.01,0002.04.0008,Yes,No
279,0002.04.0008.02,0002.04.0008,Yes,No
280,0002.04.0009,0002.04.0009,Yes,No
281,0002.04.0010.01,0002.04.0010,Yes,No
282,0002.04.0010.02,0002.04.0010,Yes,No
283,0002.04.0011.01,0002.04.0011,Yes,No
284,0002.04.0011.02,0002.04.0011,Yes,No
285,0002.04.0012.01,0002.04.0012,Yes,No
286,0002.04.0012.02,0002.04.0012,Yes,No
287,0002.04.0013.01,0002.04.0013,Yes,No
288,0002.04.0013.02,0002.04.0013,Yes,No
289,0002.04.0014.01,0002.04.0014,Yes,No
290,0002.04.0014.02,0002.04.0014,Yes,No
291,0002.04.0015.01,0002.04.0015,Yes,No
292,0002.04.0015.02,0002.04.0015,Yes,No
293,0002.04.0016.01,0002.04.0016,Yes,No
294,0002.04.0016.02,0002.04.0016,Yes,No
295,0002.04.0017.01,0002.04.0017,Yes,No
296,0002.04.0017.02,0002.04.0017,Yes,No
297,0002.04.0018.01,0002.04.0018,Yes,No
298,0002.04.0018.02,0002.04.0018,Yes,No
299,0002.04.0019.01,0002.04.0019,Yes,No
300,0002.04.0019.02,0002.04.0019,Yes,No
301,0002.04.0020.01,0002.04.0020,Yes,No
302,0002.04.0020.02,0002.04.0020,Yes,No
303,0002.04.0021,0002.04.0021,Yes,No
304,0002.04.0022.01,0002.04.0022,Yes,No
305,0002.04.0022.02,0002.04.0022,Yes,No
306,0002.04.0023.01,0002.04.0023,Yes,No
307,0002.04.0023.02,0002.04.0023,Yes,No
308,0002.04.0024.01,0002.04.0024,Yes,No
309,0002.04.0024.02,0002.04.0024,Yes,No
310,0002.04.0025.01,0002.04.0025,Yes,No
311,0002.04.0025.02,0002.04.0025,Yes,No
312,0002.04.0026,0002.04.0026,Yes,No
313,0002.04.0027,0002.04.0027,Yes,No
314,0002.04.0028,0002.04.0028,Yes,No
315,0002.04.0029,0002.04.0029,Yes,No
316,0002.04.0030,0002.04.0030,Yes,No
317,0002.04.0031,0002.04.0031,Yes,No
318,0002.04.0032,0002.04.0032,Yes,No
319,0002.04.0033,0002.04.0033,Yes,No
320,0002.04.0034,0002.04.0034,Yes,No
321,0002.04.0035,0002.04.0035,Yes,No
322,0002.04.0036,0002.04.0036,Yes,No
323,0002.04.0037,0002.04.0037,Yes,No
324,0002.04.0038,0002.04.0038,Yes,No
325,0002.04.0039,0002.04.0039,Yes,No
326,0002.05.0001,0002.05.0001,Yes,No
327,0002.05.0002,0002.05.0002,Yes,No
328,0002.05.0003,0002.05.0003,Yes,No
329,0002.05.0004,0002.05.0004,Yes,No
330,0002.05.0005,0002.05.0005,Yes,No
331,0002.05.0006,0002.05.0006,Yes,No
332,0002.05.0007,0002.05.0007,Yes,No
333,0002.05.0008,0002.05.0008,Yes,No
334,0002.05.0009,0002.05.0009,Yes,No
335,0002.05.0010,0002.05.0010,Yes,No
336,0002.05.0011,0002.05.0011,Yes,No
337,0002.05.0012,0002.05.0012,Yes,No
338,0002.05.0013,0002.05.0013,Yes,No
339,0002.05.0014,0002.05.0014,Yes,No
340,0002.05.0015,0002.05.0015,Yes,No
341,0002.05.0016,0002.05.0016,Yes,No
342,0002.05.0017,0002.05.0017,Yes,No
343,0002.05.0018,0002.05.0018,Yes,No
344,0002.05.0019,0002.05.0019,Yes,No
345,0002.05.0020,0002.05.0020,Yes,No
346,0002.05.0021,0002.05.0021,Yes,No
347,0002.05.0022,0002.05.0022,Yes,No
348,0002.05.0023,0002.05.0023,Yes,No
349,0002.05.0024.01,0002.05.0024,Yes,No
350,0002.05.0024.02,0002.05.0024,Yes,No
351,0002.05.0025,0002.05.0025,Yes,No
352,0002.05.0026.01,0002.05.0026,Yes,No
353,0002.05.0026.02,0002.05.0026,Yes,No
354,0002.05.0027.01,0002.05.0027,Yes,No
355,0002.05.0027.02,0002.05.0027,Yes,No
356,0002.05.0028.01,0002.05.0028,Yes,No
357,0002.05.0028.02,0002.05.0028,Yes,No
358,0002.05.0029.01,0002.05.0029,Yes,No
359,0002.05.0029.02,0002.05.0029,Yes,No
360,0002.05.0030.01,0002.05.0030,Yes,No
361,0002.05.0030.02,0002.05.0030,Yes,No
362,0002.05.0031,0002.05.0031,Yes,No
363,0002.05.0032.01,0002.05.0032,Yes,No
364,0002.05.0032.02,0002.05.0032,Yes,No
365,0002.05.0033,0002.05.0033,Yes,No
366,0002.05.0034,0002.05.0034,Yes,No
367,0002.05.0035,0002.05.0035,Yes,No
368,0002.05.0036,0002.05.0036,Yes,No
369,0002.05.0037,0002.05.0037,Yes,No
370,0002.05.0038,0002.05.0038,Yes,No
371,0002.05.0039,0002.05.0039,Yes,No
372,0002.05.0040,0002.05.0040,Yes,No
373,0002.05.0041,0002.05.0041,Yes,No
374,0002.05.0042,0002.05.0042,Yes,No
375,0002.05.0043,0002.05.0043,Yes,No
376,0002.05.0044,0002.05.0044,Yes,No
377,0002.05.0045,0002.05.0045,Yes,No
378,0002.05.0046,0002.05.0046,Yes,No
379,0002.05.0047,0002.05.0047,Yes,No
380,0002.05.0048,0002.05.0048,Yes,No
381,0002.05.0049,0002.05.0049,Yes,No
382,0002.05.0050,0002.05.0050,Yes,No
383,0002.05.0051,0002.05.0051,Yes,No
384,0002.06.0001,0002.06.0001,Yes,No
385,0002.06.0002,0002.06.0002,Yes,No
386,0002.06.0003,0002.06.0003,Yes,No
387,0002.06.0004,0002.06.0004,Yes,No
388,0002.06.0005,0002.06.0005,Yes,No
389,0002.06.0006,0002.06.0006,Yes,No
390,0002.06.0007,0002.06.0007,Yes,No
391,0002.06.0008,0002.06.0008,Yes,No
392,0002.06.0009,0002.06.0009,Yes,No
393,0002.06.0010,0002.06.0010,Yes,No
394,0002.06.0011.01,0002.06.0011,Yes,No
395,0002.06.0011.02,0002.06.0011,Yes,No
396,0002.06.0012.01,0002.06.0012,Yes,No
397,0002.06.0012.02,0002.06.0012,Yes,No
398,0002.06.0012.03,0002.06.0012,Yes,No
399,0002.06.0012.04,0002.06.0012,Yes,No
400,0002.06.0013,0002.06.0013,Yes,No
401,0002.06.0014,0002.06.0014,Yes,No
402,0002.06.0015,0002.06.0015,Yes,No
403,0002.06.0016,0002.06.0016,Yes,No
404,0002.06.0017,0002.06.0017,Yes,No
405,0002.06.0018,0002.06.0018,Yes,No
406,0002.06.0019,0002.06.0019,Yes,No
407,0002.06.0020.01,0002.06.0020,Yes,No
408,0002.06.0020.02,0002.06.0020,Yes,No
409,0002.06.0022.01,0002.06.0022,Yes,No
410,0002.06.0022.02,0002.06.0022,Yes,No
411,0002.06.0023.01,0002.06.0023,Yes,No
412,0002.06.0023.02,0002.06.0023,Yes,No
413,0002.06.0024.01,0002.06.0024,Yes,No
414,0002.06.0024.02,0002.06.0024,Yes,No
415,0002.06.0025,0002.06.0025,Yes,No
416,0002.06.0026,0002.06.0026,Yes,No
417,0002.06.0027,0002.06.0027,Yes,No
418,0002.06.0028,0002.06.0028,Yes,No
419,0002.06.0029,0002.06.0029,Yes,No
420,0002.06.0030,0002.06.0030,Yes,No
421,0002.06.0031,0002.06.0031,Yes,No
422,0002.06.0032,0002.06.0032,Yes,No
423,0002.06.0033,0002.06.0033,Yes,No
424,0002.06.0034,0002.06.0034,Yes,No
425,0002.06.0035,0002.06.0035,Yes,No
426,0002.06.0036,0002.06.0036,Yes,No
427,0002.06.0037,0002.06.0037,Yes,No
428,0002.06.0038,0002.06.0038,Yes,No
429,0002.06.0039.01,0002.06.0039,Yes,No
430,0002.06.0039.02,0002.06.0039,Yes,No
431,0002.06.0040,0002.06.0040,Yes,No
432,0002.06.0041.01,0002.06.0041,Yes,No
433,0002.06.0041.02,0002.06.0041,Yes,No
434,0002.06.0042,0002.06.0042,Yes,No
435,0002.06.0043,0002.06.0043,Yes,No
436,0002.06.0044,0002.06.0044,Yes,No
437,0002.06.0045,0002.06.0045,Yes,No
438,0002.06.0046,0002.06.0046,Yes,No
439,0002.06.0047,0002.06.0047,Yes,No
440,0002.06.0048,0002.06.0048,Yes,No
441,0002.06.0049,0002.06.0049,Yes,No
442,0002.06.0050,0002.06.0050,Yes,No
443,0002.06.0051.01,0002.06.0051,Yes,No
444,0002.06.0051.02,0002.06.0051,Yes,No
445,0002.06.0052,0002.06.0052,Yes,No
446,0002.06.0053,0002.06.0053,Yes,No
447,0002.06.0054.01,0002.06.0054,Yes,No
448,0002.06.0054.02,0002.06.0054,Yes,No
449,0002.06.0055.01,0002.06.0055,Yes,No
450,0002.06.0055.02,0002.06.0055,Yes,No
451,0002.06.0056,0002.06.0056,Yes,No
452,0002.06.0057.01,0002.06.0057,Yes,No
453,0002.06.0057.02,0002.06.0057,Yes,No
454,0002.06.0058.01,0002.06.0058,Yes,No
455,0002.06.0058.02,0002.06.0058,Yes,No
456,0002.06.0059.01,0002.06.0059,Yes,No
457,0002.06.0059.02,0002.06.0059,Yes,No
458,0002.06.0060,0002.06.0060,Yes,No
459,0002.06.0061,0002.06.0061,Yes,No
460,0002.06.0062,0002.06.0062,Yes,No
461,0002.06.0063,0002.06.0063,Yes,No
462,0002.06.0064,0002.06.0064,Yes,No
463,0002.06.0065,0002.06.0065,Yes,No
464,0002.06.0066,0002.06.0066,Yes,No
465,0002.06.0067,0002.06.0067,Yes,No
466,0002.06.0068,0002.06.0068,Yes,No
467,0002.06.0069,0002.06.0069,Yes,No
468,0002.06.0070,0002.06.0070,Yes,No
469,0002.06.0071,0002.06.0071,Yes,No
470,0002.06.0072,0002.06.0072,Yes,No
471,0002.06.0073,0002.06.0073,Yes,No
472,0002.06.0074,0002.06.0074,Yes,No
473,0002.06.0075,0002.06.0075,Yes,No
474,0002.06.0076,0002.06.0076,Yes,No
475,0002.06.0077,0002.06.0077,Yes,No
476,0002.06.0078,0002.06.0078,Yes,No
477,0002.06.0079,0002.06.0079,Yes,No
478,0002.06.0080,0002.06.0080,Yes,No
479,0002.06.0081,0002.06.0081,Yes,No
480,0002.06.0082,0002.06.0082,Yes,No
481,0002.06.0083,0002.06.0083,Yes,No
482,0002.06.0084,0002.06.0084,Yes,No
483,0002.06.0085,0002.06.0085,Yes,No
484,0002.06.0086,0002.06.0086,Yes,No
485,0002.06.0087,0002.06.0087,Yes,No
486,0002.06.0088,0002.06.0088,Yes,No
487,0002.06.0089,0002.06.0089,Yes,No
488,0002.06.0090.01,0002.06.0090,Yes,No
489,0002.06.0090.02,0002.06.0090,Yes,No
490,0002.06.0091.01,0002.06.0091,Yes,No
491,0002.06.0091.02,0002.06.0091,Yes,No
492,0002.06.0092,0002.06.0092,Yes,No
493,0002.06.0093,0002.06.0093,Yes,No
494,0002.06.0094,0002.06.0094,Yes,No
495,0002.06.0095,0002.06.0095,Yes,No
496,0002.06.0096,0002.06.0096,Yes,No
497,0002.06.0097,0002.06.0097,Yes,No
498,0002.06.0098,0002.06.0098,Yes,No
499,0002.06.0099,0002.06.0099,Yes,No
500,0002.06.0100,0002.06.0100,Yes,No
501,0002.06.0101,0002.06.0101,Yes,No
502,0002.06.0102.01,0002.06.0102,Yes,No
503,0002.06.0102.02,0002.06.0102,Yes,No
504,0002.06.0103.01,0002.06.0103,Yes,No
505,0002.06.0103.02,0002.06.0103,Yes,No
506,0002.06.0104,0002.06.0104,Yes,No
507,0002.06.0105,0002.06.0105,Yes,No
508,0002.06.0106,0002.06.0106,Yes,No
509,0002.06.0107,0002.06.0107,Yes,No
510,0002.06.0108,0002.06.0108,Yes,No
511,0002.06.0109,0002.06.0109,Yes,No
512,0002.06.0110,0002.06.0110,Yes,No
513,0002.06.0111.01,0002.06.0111,Yes,No
514,0002.06.0111.02,0002.06.0111,Yes,No
515,0002.06.0111.03,0002.06.0111,Yes,No
516,0002.06.0111.04,0002.06.0111,Yes,No
517,0002.06.0111.05,0002.06.0111,Yes,No
518,0002.06.0112.01,0002.06.0112,Yes,No
519,0002.06.0112.02,0002.06.0112,Yes,No
520,0002.06.0113.01,0002.06.0113,Yes,No
521,0002.06.0113.02,0002.06.0113,Yes,No
522,0002.06.0114.01,0002.06.0114,Yes,No
523,0002.06.0114.02,0002.06.0114,Yes,No
524,0002.06.0115.01,0002.06.0115,Yes,No
525,0002.06.0115.02,0002.06.0115,Yes,No
526,0002.06.0116.01,0002.06.0116,Yes,No
527,0002.06.0116.02,0002.06.0116,Yes,No
528,0002.06.0117.01,0002.06.0117,Yes,No
529,0002.06.0117.02,0002.06.0117,Yes,No
530,0002.06.0118.01,0002.06.0118,Yes,No
531,0002.06.0118.02,0002.06.0118,Yes,No
532,0002.06.0119.01,0002.06.0119,Yes,No
533,0002.06.0119.02,0002.06.0119,Yes,No
534,0002.06.0120.01,0002.06.0120,Yes,No
535,0002.06.0120.02,0002.06.0120,Yes,No
536,0002.06.0121.01,0002.06.0121,Yes,No
537,0002.06.0121.02,0002.06.0121,Yes,No
538,0002.06.0122.01,0002.06.0122,Yes,No
539,0002.06.0122.02,0002.06.0122,Yes,No
540,0002.06.0123.01,0002.06.0123,Yes,No
541,0002.06.0123.02,0002.06.0123,Yes,No
542,0002.06.0124.01,0002.06.0124,Yes,No
543,0002.06.0124.02,0002.06.0124,Yes,No
544,0002.06.0125.01,0002.06.0125,Yes,No
545,0002.06.0125.02,0002.06.0125,Yes,No
546,0002.06.0126.01,0002.06.0126,Yes,No
547,0002.06.0126.02,0002.06.0126,Yes,No
548,0002.06.0127.01,0002.06.0127,Yes,No
549,0002.06.0127.02,0002.06.0127,Yes,No
550,0002.06.0128.01,0002.06.0128,Yes,No
551,0002.06.0128.02,0002.06.0128,Yes,No
552,0002.06.0129.01,0002.06.0129,Yes,No
553,0002.06.0129.02,0002.06.0129,Yes,No
554,0002.06.0130.01,0002.06.0130,Yes,No
555,0002.06.0130.02,0002.06.0130,Yes,No
556,0002.06.0131.01,0002.06.0131,Yes,No
